Local electronegativity,Adsorbate electronegativity,Catalyst electronegativtiy,Effective coordination number,Center atom coordination number,Site type,Band gap,Formation energy,Density,Space Group,Miller Index,Sum of adsorbate atomic numbers,Number of adsorbate atoms,mean_atomic_bulk,Eads
1.69115345252878,2.465,1.75,0,0,0,0,-0.928891870000001,17.7618526075747,51,110,18,6,74.5,-2.29996171000005
1.20671427104406,2.61333333333333,1.3025,0,0,0,0,-0.125274541429595,3.45466700758845,225,100,10,3,24,-0.268049090000005
1.93339080374352,2.465,1.94,0,0,0,0,-0.387593594999998,6.62814615391672,225,100,18,6,50.5,-1.63890391
1.90387662363181,2.27,1.935,0,0,0,0,-0.155826837499998,11.4817579037811,59,10,10,5,42,-2.80887860999999
2.31524355171452,2.82,2.47692307692308,3,1,1,1.3772,-0.612578144375,4.67162356664275,33,210,9,2,21,0.855161769999882
1.89117508340227,3.44,1.922,6,2,2,0.139100000000001,-0.234528309999997,9.12383739157728,8,219,8,1,53,0.387511570000015
2.55973064634439,2.82,2.56842105263158,0,0,0,2.8065,0.0032193965277787,1.66282763155664,62,102,9,2,13.3333330154419,1.43326905000004
1.99678867980438,2.5975,2.01333333333333,3,1,1,0,-0.264165119380952,3.93976061765621,15,110,16,4,16.7999992370605,-0.137655689999974
1.96031590735554,2.465,2.00518518518518,0,0,0,0,-1.21180513400298,5.8034608901727,12,119,18,6,34,-1.76282505
1.95506115981584,2.82,1.96444444444444,0,0,0,1.2801,-0.401440061249998,5.21721122327674,115,212,9,2,36.5,0.90303080000001
1.77595044975923,2.518,1.78,0,0,0,0,-0.121995866875002,6.20310411547112,140,100,17,5,20.25,-2.29855058999999
2.1,2.2,2.1,0,0,0,0,0.0540954533333355,6.80291227204545,166,111,1,1,52,0.882522550000004
1.27410530612246,2.61333333333333,1.34263157894737,3,1,1,0,-0.254754581874998,3.66362644648295,140,111,10,3,30.125,-0.560473819999999
2.41628633467059,2.5975,2.43428571428571,0,0,0,0,-0.298265766374999,2.09485781196489,11,122,16,4,15.6000003814697,0.21557064000001
1.35775798417661,2.27,1.45,0,0,0,0,-0.282561930833334,5.51006002919998,119,211,10,5,50.5,-2.53393336000001
1.98722936648285,2.2,1.98884615384615,3,1,1,0,-0.0322597249999982,7.44260314121037,1,210,1,1,48.6666679382324,1.47769149999999
1.69201494036699,2.61333333333333,1.697,3,1,1,0,-0.354967992500001,5.14788941482684,139,201,10,3,20.5,-0.966257159999998
2.1,2.31666666666667,2.1,2,1,1,0,0.0491356783333323,6.35208539017958,26,110,8,3,52,-0.0365834899999839
1.97777652933793,2.61333333333333,2.04,8,1,1,0,-0.475907740833332,12.0710329509936,129,112,10,3,50.5,-0.822369820000006
1.64985245257193,2.465,1.66,0,0,0,0,-0.319054466250002,6.10636310692864,63,122,18,6,29,-1.64549024000002
2.13120447353322,2.61333333333333,2.13333333333333,0,0,0,0,-0.107202958124998,13.2405154479628,194,210,10,3,54.5,-0.146064209999963
2.18398540138688,2.5975,2.184,1,1,1,0.0267999999999997,-0.508268478749997,8.96076155988533,204,210,16,4,44,0.415426900000057
1.57203085531876,2.518,1.7,0,0,0,0,-0.651396016,8.37845226956125,129,101,17,5,44.4000015258789,-0.654228579999995
1.66267406649085,2.518,1.6952380952381,0,0,0,0,-0.666634615606058,6.54817587764068,55,110,17,5,35.5454559326172,-1.03557744999995
1.70300441192172,2.82,1.926,6,2,2,0,-1.02520033541872,3.36153602683159,63,100,9,2,15.1428575515747,-1.14908346999999
2.10013695766079,2.2875,2.15066666666667,7,1,1,0,-0.868047795454544,4.28299420301707,163,100,9,4,19.6363639831543,-1.54537170999993
1.80998375845706,2.31666666666667,1.83125,4,1,1,0,-0.812340915999999,6.13830038418294,164,210,8,3,26.2000007629395,-1.28123939000005
1.70657290867557,2.31666666666667,1.74954545454545,7.5,2,2,0,-0.942014364305573,9.98401704932575,38,122,8,3,43.3333320617676,-1.97163817000001
